39.234	-8.347	7.00E-02	3
39.232	-8.303	5.90E-02	0
39.230	-8.260	6.30E-02	3
39.252	-9.239	1.09E-01	3
39.251	-9.190	1.08E-01	3
39.249	-9.141	1.01E-01	3
39.247	-9.091	9.10E-02	3
39.245	-9.041	7.20E-02	3
39.243	-8.993	6.10E-02	3
39.242	-8.946	7.20E-02	3
39.240	-8.898	7.30E-02	3
39.238	-8.851	8.20E-02	3
39.236	-8.804	7.10E-02	3
39.234	-8.758	6.80E-02	3
39.232	-8.711	9.50E-02	3
39.230	-8.665	1.26E-01	3
39.229	-8.620	1.39E-01	3
39.227	-8.574	1.00E-01	3
39.225	-8.528	7.60E-02	3
39.223	-8.482	6.20E-02	3
39.221	-8.437	6.60E-02	3
39.219	-8.393	7.40E-02	3
39.217	-8.348	6.90E-02	3
39.215	-8.305	7.30E-02	3
39.213	-8.261	6.70E-02	3
39.235	-9.240	9.60E-02	0
39.233	-9.190	7.70E-02	3
39.232	-9.141	7.50E-02	2
39.230	-9.092	8.80E-02	3
39.228	-9.042	7.20E-02	0
39.226	-8.994	7.50E-02	3
39.225	-8.947	6.70E-02	0
39.223	-8.900	7.50E-02	3
39.221	-8.852	6.90E-02	0
39.219	-8.805	7.10E-02	3
39.217	-8.758	7.50E-02	0
39.216	-8.713	8.10E-02	3
39.214	-8.667	1.27E-01	0
39.212	-8.621	1.62E-01	3
39.210	-8.575	1.30E-01	2
39.208	-8.528	8.30E-02	3
39.206	-8.483	6.50E-02	2
39.204	-8.438	7.50E-02	3
39.203	-8.394	6.70E-02	0
39.201	-8.350	6.70E-02	3
39.199	-8.306	6.60E-02	0
39.197	-8.261	6.20E-02	3
39.218	-9.242	9.10E-02	3
39.216	-9.191	6.50E-02	3
39.214	-9.142	6.50E-02	3
39.213	-9.093	8.40E-02	3
39.211	-9.041	6.30E-02	3
39.209	-8.994	6.70E-02	3
39.208	-8.948	1.22E-01	3
39.206	-8.900	9.50E-02	3
39.204	-8.853	7.10E-02	3
39.202	-8.806	6.50E-02	3
39.201	-8.759	8.70E-02	3
39.199	-8.714	1.17E-01	3
39.197	-8.668	1.38E-01	3
39.195	-8.621	1.46E-01	3
39.193	-8.575	1.45E-01	3
39.192	-8.529	1.19E-01	3
39.190	-8.484	7.70E-02	3
39.188	-8.440	8.10E-02	3
39.186	-8.395	7.50E-02	3
39.184	-8.351	7.00E-02	3
39.182	-8.307	6.50E-02	3
39.181	-8.262	7.00E-02	3
39.201	-9.242	1.01E-01	2
39.199	-9.192	8.10E-02	3
39.197	-9.142	6.40E-02	1
39.196	-9.092	8.30E-02	3
39.194	-9.040	5.40E-02	2
39.192	-8.995	6.20E-02	3
39.191	-8.949	9.20E-02	0
39.189	-8.901	7.20E-02	3
39.187	-8.853	7.40E-02	0
39.185	-8.806	8.10E-02	3
39.184	-8.760	9.80E-02	2
39.182	-8.715	1.39E-01	3
39.180	-8.669	1.50E-01	2
39.179	-8.622	1.36E-01	3
39.177	-8.576	1.42E-01	2
39.175	-8.530	1.06E-01	3
39.173	-8.486	9.20E-02	2
39.171	-8.440	6.80E-02	3
39.170	-8.396	7.00E-02	0
39.168	-8.351	6.90E-02	3
39.166	-8.307	6.50E-02	0
39.164	-8.263	7.30E-02	3
39.183	-9.243	7.80E-02	3
39.182	-9.193	7.40E-02	3
39.180	-9.143	6.90E-02	3
39.178	-9.090	7.70E-02	3
39.177	-9.039	5.80E-02	3
39.175	-8.997	6.20E-02	3
39.174	-8.950	7.20E-02	3
39.172	-8.902	7.70E-02	3
39.170	-8.854	8.80E-02	2
39.169	-8.808	9.80E-02	3
39.167	-8.762	1.16E-01	2
39.165	-8.716	1.64E-01	3
39.164	-8.670	1.52E-01	3
39.162	-8.623	1.31E-01	3
39.160	-8.576	1.00E-01	2
39.158	-8.532	1.28E-01	3
39.157	-8.486	7.80E-02	2
39.155	-8.441	6.10E-02	3
39.153	-8.396	7.30E-02	2
39.151	-8.352	6.80E-02	3
39.150	-8.308	6.30E-02	3
39.148	-8.265	7.10E-02	3
39.251	-9.247	1.09E-01	2
39.248	-9.197	1.07E-01	3
39.246	-9.149	9.80E-02	0
39.244	-9.099	9.50E-02	3
39.242	-9.050	7.90E-02	0
39.240	-9.001	6.50E-02	3
39.238	-8.954	7.80E-02	0
39.236	-8.906	7.00E-02	3
39.234	-8.859	7.90E-02	2
39.232	-8.812	6.90E-02	3
39.230	-8.766	7.10E-02	2
39.228	-8.720	8.40E-02	3
39.226	-8.674	1.20E-01	1
39.224	-8.628	1.51E-01	3
39.221	-8.582	1.17E-01	0
39.219	-8.536	8.70E-02	3
39.217	-8.491	6.30E-02	0
39.215	-8.446	6.80E-02	3
39.213	-8.401	7.50E-02	2
39.211	-8.357	6.90E-02	3
39.209	-8.313	7.30E-02	3
39.206	-8.269	6.50E-02	3
39.233	-9.249	9.80E-02	3
39.231	-9.198	7.90E-02	3
39.229	-9.149	7.30E-02	3
39.227	-9.100	8.40E-02	3
39.225	-9.050	7.70E-02	3
39.223	-9.001	6.70E-02	3
39.221	-8.955	7.10E-02	3
39.219	-8.908	7.30E-02	3
39.217	-8.860	7.20E-02	3
39.215	-8.813	6.50E-02	3
39.213	-8.766	7.40E-02	3
39.211	-8.721	8.10E-02	3
39.209	-8.675	1.22E-01	3
